FIELD,P/F,WELL,DATE,WHP,WHT,Tr,Ɣw,Pr,Pr-Pb,Reservoir,Tubing_type,WC,I.GAS,D/S,BFPD,BOPD
GS324,324,EDFU-A2,8-May-18,145,137,288,1.186,2585,265,Nezzazat Edfu,Normal 4.5 short*3.5,18,1.6,835,1521,1247
GS324,324,EDFU-A2,9-May-18,175,135,288,1.186,2561,241,Nezzazat Edfu,Normal 4.5 short*3.5,18,1.7,765,1300,1066
GS324,324,EDFU-A3,14-Sep-16,185,113,252,1.102,1748,98,Lower Rudies Edfu,Normal 4.5 short*3.5,1,1.3,775,750,743
GS324,324,EDFU-A3,15-Sep-16,165,120,252,1.102,1747,97,Lower Rudies Edfu,Normal 4.5 short*3.5,1,0.8,685,825,817
GS324,324,EDFU-A3,18-Mar-18,115,98,252,1.102,1463,-187,Lower Rudies Edfu,Normal 4.5 short*3.5,44,1.1,630,730,409
GS324,324,EDFU-A8,26-Apr-16,135,135,310,1.253,5237,3017,Nubia Edfu,Normal 4.5 short*3.5,92,1.8,960,1663,133
GS324,324,EDFU-A8,16-Mar-18,150,110,310,1.253,5240,3020,Nubia Edfu,Normal 4.5 short*3.5,62,2.4,900,1320,502
GS324,324,EDFU-A8,18-Jun-20,130,98,310,1.253,5240,3020,Nubia Edfu,Normal 4.5 short*3.5,58,2,730,800,336
GS327,327,GS 327-A10,5-Dec-21,255,105,190,1.17,2138,178,Asl + Kareem GS327,Normal 4.5 short*3.5,43,2.5,880,815,465
GS327,327,GS 327-A11,4-Feb-18,220,110,170,1.164,1932,97,Kareem GS327,Normal 4.5 short*3.5,76,1.8,935,677,162
GS327,327,GS 327-A11,21-Mar-19,235,140,170,1.164,1891,56,Kareem GS327,Normal 4.5 short*3.5,80,2.4,920,1710,342
GS327,327,GS 327-A12,3-Dec-21,255,142,188,1.164,2200,240,Asl GS327,Normal 4.5 short*3.5,64,3.5,920,2345,820
GS327,327,GS 327-A13 ,30-Nov-21,235,112,187,1.164,2110,150,Asl + Kareem GS327,Normal 4.5 short*3.5,5,2.7,830,970,920
GS327,327,GS 327-A6,19-Aug-19,165,140,190,1.142,2155,195,Asl GS327,Normal 4.5 short*3.5,72,2.4,920,2400,672
GS327,327,GS 327-A6,29-Nov-21,270,151,190,1.142,2138,178,Asl + Kareem GS327,Normal 4.5 short*3.5,85,2.3,975,2500,550
GS327,327,GS 327-A7 ,5-Feb-18,220,122,172,1.168,2200,240,Asl GS327,Normal 4.5 short*3.5,70,2.4,940,1473,442
Hilal B,Hilal B,B-2,2-Nov-18,168,95,220,1.16,1336,-1900,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.6,535,350,347
Hilal B,Hilal B,B-2,10-Feb-19,175,82,220,1.16,1439,-1797,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.6,518,268,265
Hilal B,Hilal B,B-2,30-Mar-19,174,84,220,1.16,1246,-1990,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.5,585,240,238
Hilal B,Hilal B,B-2,8-Apr-19,172,84,220,1.16,1246,-1990,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.4,438,247,245
Hilal B,Hilal B,B-2,15-May-19,170,90,220,1.16,1248,-1988,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1,760,275,272
Hilal B,Hilal B,B-2,19-Aug-19,160,93,220,1.16,1250,-1986,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.3,530,270,267
Hilal B,Hilal B,B-2,30-Sep-19,165,87,220,1.16,1251,-1985,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.3,515,265,262
Hilal B,Hilal B,B-3,2-May-19,330,183,287,1.185,4510,767,Nubia Hilal,Normal 4.5 short*3.5,71,0,1,2650,769
Hilal B,Hilal B,B-3,21-Sep-19,310,174,287,1.185,4504,761,Nubia Hilal,Normal 4.5 short*3.5,72,0,1,2335,654
Hilal B,Hilal B,B-3,29-Sep-19,247,182,287,1.185,4405,662,Nubia Hilal,Normal 4.5 short*3.5,72,0,1,2700,756
Hilal B,Hilal B,B-3,11-Oct-19,415,187,287,1.185,4503,760,Nubia Hilal,Normal 4.5 short*3.5,77,0,1,3440,791
Hilal B,Hilal B,B-3,16-Oct-19,389,184,287,1.185,4503,760,Nubia Hilal,Normal 4.5 short*3.5,78,0,1,3265,718
Hilal B,Hilal B,B-3,17-Oct-19,380,186,287,1.185,4503,760,Nubia Hilal,Normal 4.5 short*3.5,78,0,1,3125,688
July,J-10,J-21,15-May-08,73,85,260,1.196,1171,-585,Nubia A/Nezzazat July,Normal 4.5 short*3.5,12,2,635,720,634
July,J-10,J-21,8-Aug-08,73,80,260,1.196,1158,-598,Nubia A/Nezzazat July,Normal 4.5 short*3.5,12,2,640,710,625
July,J-10,J-21,10-Dec-08,73,85,260,1.196,1172,-584,Nubia A/Nezzazat July,Normal 4.5 short*3.5,12,2,660,600,528
July,J-10,J-21,28-Dec-08,73,85,260,1.196,1178,-578,Nubia A/Nezzazat July,Normal 4.5 short*3.5,20,2,650,580,464
July,J-10,J-21,23-Feb-09,73,85,260,1.196,1196,-560,Nubia A/Nezzazat July,Normal 4.5 short*3.5,20,2,660,620,496
July,J-15,J-95,26-May-19,175,175,233,1.042,2887,537,Lower Rudies July,Normal 4.5 long*3.5,77,2.7,960,4120,948
July,J-29,J-100,24-Nov-15,808,170,265,1.218,4916,3001,Nubia C July,Normal 4.5 short*3.5,0.3,0,1,3170,3160
July,J-29,J-100,25-Nov-15,813,170,265,1.218,4911,2996,Nubia C July,Normal 4.5 short*3.5,0.3,0,1,3195,3185
July,J-29,J-100,26-Nov-15,808,170,265,1.218,4906,2991,Nubia C July,Normal 4.5 short*3.5,0.3,0,1,3165,3156
July,J-29,J-100,26-Nov-15,813,170,265,1.218,4906,2991,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,3460,3458
July,J-29,J-100,30-Nov-15,813,170,265,1.218,4887,2972,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,3460,3458
July,J-29,J-100,2-Dec-15,813,170,265,1.218,4878,2963,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,3532,3530
July,J-29,J-100,3-Dec-15,813,170,265,1.218,4873,2958,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,3493,3491
July,J-29,J-100,9-Dec-15,835,165,265,1.218,4844,2929,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2620,2619
July,J-29,J-100,12-Dec-15,835,165,265,1.218,4830,2915,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2670,2669
July,J-29,J-100,14-Dec-15,840,167,265,1.218,4820,2905,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2744,2743
July,J-29,J-100,19-Dec-15,840,169,265,1.218,4796,2881,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2860,2857
July,J-29,J-100,22-Dec-15,830,165,265,1.218,4782,2867,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2856,2853
July,J-29,J-100,23-Dec-15,834,165,265,1.218,4777,2862,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2724,2721
July,J-29,J-100,27-Dec-15,833,165,265,1.218,4758,2843,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2748,2747
July,J-29,J-100,7-Jan-16,828,159,265,1.218,4705,2790,Nubia C July,Normal 4.5 short*3.5,0.1,0,1,2250,2249
July,J-29,J-100,22-Jan-16,815,165,265,1.218,4633,2718,Nubia C July,Normal 4.5 short*3.5,0.5,0,1,2020,2010
July,J-29,J-100,26-Jan-16,803,155,265,1.218,4614,2699,Nubia C July,Normal 4.5 short*3.5,0.5,0,1,1909,1899
July,J-29,J-100,26-Mar-16,808,146,265,1.218,4327,2412,Nubia C July,Normal 4.5 short*3.5,4,0,1,1302,1250
July,J-29,J-100,17-Apr-16,818,137,265,1.218,4222,2307,Nubia C July,Normal 4.5 short*3.5,5,0,1,1080,1026
July,J-29,J-100,20-Apr-16,833,137,265,1.218,4207,2292,Nubia C July,Normal 4.5 short*3.5,6,0,1,985,926
July,J-29,J-100,14-May-16,822,138,265,1.218,4153,2238,Nubia C July,Normal 4.5 short*3.5,4.5,0,1,935,893
July,J-29,J-100,17-May-16,794,148,265,1.218,4154,2239,Nubia C July,Normal 4.5 short*3.5,4,0,1,1395,1339
July,J-29,J-100,24-May-16,760,144,265,1.218,4156,2241,Nubia C July,Normal 4.5 short*3.5,6,0,1,1325,1246
July,J-29,J-100,30-May-16,760,142,265,1.218,4158,2243,Nubia C July,Normal 4.5 short*3.5,4.5,0,1,1095,1046
July,J-29,J-100,16-Jul-16,690,159,265,1.218,4170,2255,Nubia C July,Normal 4.5 short*3.5,8,0,1,2650,2438
July,J-29,J-100,18-Jul-16,665,170,265,1.218,4171,2256,Nubia C July,Normal 4.5 short*3.5,8,0,1,2592,2385
July,J-29,J-100,17-Sep-16,471,170,265,1.218,4188,2273,Nubia C July,Normal 4.5 short*3.5,30,0,1,1590,1113
July,J-29,J-100,26-Sep-16,448,170,265,1.218,4190,2275,Nubia C July,Normal 4.5 short*3.5,30,0,1,1515,1061
July,J-29,J-100,11-Nov-16,397,170,265,1.218,4203,2288,Nubia C July,Normal 4.5 short*3.5,36,0,1,1533,981
July,J-29,J-100,12-Nov-16,396,170,265,1.218,4203,2288,Nubia C July,Normal 4.5 short*3.5,36,0,1,1533,981
July,J-29,J-100,7-Sep-17,158,175,265,1.218,4273,2358,Nubia C July,Normal 4.5 short*3.5,76,2.5,1008,2100,504
July,J-29,J-100,24-Oct-17,153,200,265,1.218,4276,2361,Nubia C July,Normal 4.5 short*3.5,80,2,995,3497,699
July,J-29,J-100,25-Oct-17,138,202,265,1.218,4276,2361,Nubia C July,Normal 4.5 short*3.5,82,2,965,3690,664
July,J-29,J-100,14-Nov-17,200,178,265,1.218,4277,2362,Nubia C July,Normal 4.5 short*3.5,80,2,1000,2520,504
July,J-29,J-100,18-Dec-17,123,171,265,1.218,4279,2364,Nubia C July,Normal 4.5 short*3.5,88,2,995,2100,252
July,J-29,J-100,4-Mar-18,116,178,265,1.218,4283,2368,Nubia C July,Normal 4.5 short*3.5,92,1.6,1010,2328,186
July,J-29,J-100,9-Mar-18,117,180,265,1.218,4283,2368,Nubia C July,Normal 4.5 short*3.5,92,1.6,1015,2460,197
July,J-29,J-100,14-Mar-18,138,195,265,1.218,4283,2368,Nubia C July,Normal 4.5 short*3.5,91,1.9,1010,3740,337
July,J-29,J-100,15-Mar-18,143,195,265,1.218,4283,2368,Nubia C July,Normal 4.5 short*3.5,91,1.9,1005,3600,324
July,J-29,J-100,20-Mar-18,136,193,265,1.218,4284,2369,Nubia C July,Normal 4.5 short*3.5,90,2,1008,3310,331
July,J-29,J-100,5-Apr-18,113,179,265,1.218,4285,2370,Nubia C July,Normal 4.5 short*3.5,91,1.5,1015,2270,204
July,J-29,J-100,9-Apr-18,115,170,265,1.218,4285,2370,Nubia C July,Normal 4.5 short*3.5,90,2,1005,2211,221
July,J-29,J-100,14-Apr-18,148,180,265,1.218,4285,2370,Nubia C July,Normal 4.5 short*3.5,90,2.5,1005,3510,351
July,J-29,J-100,27-Apr-18,153,195,265,1.218,4286,2371,Nubia C July,Normal 4.5 short*3.5,90,2.5,1005,3585,359
July,J-29,J-100,6-Jul-18,113,190,265,1.218,4290,2375,Nubia C July,Normal 4.5 short*3.5,90,2.1,1005,3200,320
July,J-29,J-100,5-Aug-18,143,194,265,1.218,4291,2376,Nubia C July,Normal 4.5 short*3.5,90,2,1004,3200,320
July,J-29,J-100,20-Aug-18,143,193,265,1.218,4292,2377,Nubia C July,Normal 4.5 short*3.5,90,2,1000,3105,311
July,J-29,J-100,1-Sep-18,143,194,265,1.218,4293,2378,Nubia C July,Normal 4.5 short*3.5,90,2,1005,3144,314
July,J-29,J-100,20-Dec-21,105,160,265,1.23,4053,2138,Nubia C July,Normal 4.5 short*3.5,34,2.5,790,2500,1650
July,J-29,J-100,21-Dec-21,100,173,265,1.23,4053,2138,Nubia C July,Normal 4.5 short*3.5,32,2,545,2500,1700
July,J-29,J-100,25-Feb-22,105,174,265,1.23,4059,2144,Nubia C July,Normal 4.5 short*3.5,48,3,902,2300,1196
July,J-29,J-29A  ,28-Nov-17,113,113,264,1.207,1577,-179,Nezzazat July,Normal 4.5 long*3.5,55,1,750,730,329
July,J-29,J-29A  ,12-Jan-18,118,112,264,1.207,1575,-181,Nezzazat July,Normal 4.5 long*3.5,53,2.4,700,790,372
July,J-29,J-29A  ,13-Jan-18,110,116,264,1.207,1575,-181,Nezzazat July,Normal 4.5 long*3.5,53,2.4,700,720,338
July,J-29,J-29A  ,23-Jan-22,145,139,264,1.207,1575,-181,Nezzazat July,Normal 4.5 long*3.5,69,1.6,840,1930,598
July,J-29,J-30,22-Dec-17,88,110,255,1.17,2771,1015,Nubia A/Nezzazat July,Normal 4.5 short*3.5,20,1.6,815,1221,977
July,J-29,J-30,28-Jan-18,130,98,255,1.17,2673,917,Nubia A/Nezzazat July,Normal 4.5 short*3.5,15,1,680,780,663
July,J-29,J-30,7-Jul-18,88,103,255,1.17,2251,495,Nubia A/Nezzazat July,Normal 4.5 short*3.5,20,2.5,775,730,584
July,J-29,J-30,30-Apr-22,130,140,255,1.17,1143,-613,Nubia A/Nezzazat July,Normal 4.5 short*3.5,30,2.5,860,1730,1211
July,J-29,SG310-5C,18-Feb-11,143,200,264,1.124,3769,2232,Hawara July,Normal 4.5 short*3.5,85,1.7,990,4920,738
July,J-29,SG310-5C,11-Jun-18,111,184,264,1.171,3357,1820,Hawara July,Normal 4.5 short*3.5,80,2.5,1014,3660,732
July,J-29,SG310-5C,12-Jun-18,103,184,264,1.171,3480,1943,Hawara July,Normal 4.5 short*3.5,80,2.5,1015,3260,652
July,J-29,SG310-6A,31-Oct-17,118,109,245,1.158,2409,577,Asl July,Normal 4.5 long*3.5,56,2,790,1695,746
July,J-29,SG310-8,2-Jan-08,115,120,243,1.079,1658,-174,Asl July,Big bore 5.5 long*4.5*3.5,0.1,1,1000,1680,1678
July,J-29,SG310-8,10-Oct-12,115,120,243,1.079,1693,-139,Asl July,Big bore 5.5 long*4.5*3.5,0.1,2.2,810,1680,1678
July,J-29,SG310-8,12-Feb-13,93,115,243,1.079,1682,-150,Asl July,Big bore 5.5 long*4.5*3.5,0.8,2.5,815,1760,1746
July,J-29,SG310-8,30-Dec-15,123,92,243,1.079,1459,-373,Asl July,Big bore 5.5 long*4.5*3.5,13,1.9,790,1140,992
July,J-58,J-90B,22-Sep-20,125,80,234,1.124,2195,658,Hawara July,Normal 4.5 short*3.5,1,1.3,670,370,366
July,J-58,J-90B,2-Mar-22,110,167,234,1.124,2110,573,Hawara July,Normal 4.5 short*3.5,2,3.5,925,2097,2055
October,A,A-1 ST1,15-May-05,125,163,250,1.13,2715,1032,Nubia October,Normal 4.5 short*3.5,86,3.2,1330,2844,398
October,A,A-1 ST1,16-May-05,123,163,250,1.13,2715,1032,Nubia October,Normal 4.5 short*3.5,87,3.2,1332,2700,351
October,A,A-1 ST1,19-May-05,123,165,250,1.13,2715,1032,Nubia October,Normal 4.5 short*3.5,87,3.3,1337,2448,318
October,A,A-1 ST1,3-Jun-05,128,156,250,1.13,2714,1031,Nubia October,Normal 4.5 short*3.5,81,3.6,1332,2600,494
October,A,A-1 ST1,4-Jun-05,115,160,250,1.13,2714,1031,Nubia October,Normal 4.5 short*3.5,79,3.4,1116,2889,607
October,A,A-1 ST1,5-Jun-05,118,165,250,1.13,2714,1031,Nubia October,Normal 4.5 short*3.5,80,3.8,1345,2712,542
October,A,A-1 ST1,7-Jun-05,128,165,250,1.13,2714,1031,Nubia October,Normal 4.5 short*3.5,76,4.3,1353,2904,697
October,A,A-1 ST1,9-Jun-05,125,164,250,1.13,2714,1031,Nubia October,Normal 4.5 short*3.5,74,4.2,1350,2672,695
October,A,A-1 ST1,3-Jul-05,128,152,250,1.13,2713,1030,Nubia October,Normal 4.5 short*3.5,80,4,1335,2198,440
October,A,A-1 ST1,12-Oct-05,115,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,94,3.2,1334,2888,173
October,A,A-1 ST1,13-Oct-05,118,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,93,3.2,1335,2718,190
October,A,A-1 ST1,14-Oct-05,118,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,93,3.2,1335,2934,205
October,A,A-1 ST1,15-Oct-05,118,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,94,3.2,1335,2946,177
October,A,A-1 ST1,16-Oct-05,123,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,95,3.2,1332,2898,145
October,A,A-1 ST1,17-Oct-05,120,164,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,93,3.2,1334,2946,206
October,A,A-1 ST1,18-Oct-05,118,165,250,1.13,2711,1028,Nubia October,Normal 4.5 short*3.5,92,3.2,1332,2934,235
October,A,A-1 ST1,24-Jan-06,108,160,250,1.13,2709,1026,Nubia October,Normal 4.5 short*3.5,99,2.4,1249,2432,24
October,A,A-1 ST1,25-Jan-06,118,155,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,98,2.4,1218,2152,43
October,A,A-1 ST1,27-Jan-06,115,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,95,3,1237,3000,150
October,A,A-1 ST1,28-Jan-06,115,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,85,3.2,1241,3240,486
October,A,A-1 ST1,29-Jan-06,110,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,90,3.2,1240,3185,319
October,A,A-1 ST1,30-Jan-06,115,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,84,3.2,1240,3232,517
October,A,A-1 ST1,31-Jan-06,120,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,92,3.2,1136,2706,216
October,A,A-1 ST1,31-Jan-06,113,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,82,3.2,1238,2967,534
October,A,A-1 ST1,10-Feb-06,138,155,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,96,3,1076,2268,91
October,A,A-1 ST1,16-Feb-06,130,160,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,95,3.2,1230,2640,132
October,A,A-1 ST1,17-Feb-06,130,155,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,95,3.2,1235,2488,124
October,A,A-1 ST1,19-Feb-06,120,155,250,1.13,2708,1025,Nubia October,Normal 4.5 short*3.5,89,3.1,1232,2232,246
October,A,A-1 ST1,9-Mar-06,115,160,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,98,3,1230,2200,44
October,A,A-1 ST1,14-Mar-06,105,140,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,99,3,1225,2440,24
October,A,A-1 ST1,15-Mar-06,120,144,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,99,3,1228,2376,24
October,A,A-1 ST1,16-Mar-06,118,155,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,99,3,1225,2214,22
October,A,A-1 ST1,28-Mar-06,128,143,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,98,3,1235,2424,48
October,A,A-1 ST1,29-Mar-06,123,145,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,93,3,1236,2226,156
October,A,A-1 ST1,2-Apr-06,128,162,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,96,3,1082,2728,109
October,A,A-1 ST1,16-Apr-06,128,160,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,97,2.8,1074,2360,71
October,A,A-1 ST1,17-Apr-06,118,145,250,1.13,2707,1024,Nubia October,Normal 4.5 short*3.5,86,3.5,1084,2248,315
October,A,A-1 ST1,21-May-06,125,151,250,1.13,2706,1023,Nubia October,Normal 4.5 short*3.5,96,3,1082,2028,81
October,A,A-1 ST1,22-May-06,128,150,250,1.13,2706,1023,Nubia October,Normal 4.5 short*3.5,96,3,1080,1958,78
October,A,A-1 ST1,27-May-06,128,160,250,1.13,2706,1023,Nubia October,Normal 4.5 short*3.5,96,3,1081,2464,99
October,A,A-1 ST1,28-May-06,128,155,250,1.13,2706,1023,Nubia October,Normal 4.5 short*3.5,95,3,1080,2384,119
October,A,A-1 ST1,29-May-06,133,155,250,1.13,2706,1023,Nubia October,Normal 4.5 short*3.5,94,3,1085,2304,138
October,A,A-1 ST1,30-May-06,140,159,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,94,3,1077,2368,142
October,A,A-1 ST1,31-May-06,128,158,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,92,3,1086,2488,199
October,A,A-1 ST1,3-Jun-06,115,156,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,91,3,1079,2544,229
October,A,A-1 ST1,5-Jun-06,115,157,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,89,3,1081,2716,299
October,A,A-1 ST1,6-Jun-06,125,153,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,81,3,1076,2208,420
October,A,A-1 ST1,8-Jun-06,133,156,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,93,3,1080,2544,178
October,A,A-1 ST1,9-Jun-06,125,150,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,82,3,1077,2016,363
October,A,A-1 ST1,7-Jul-06,135,160,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,96,3,1077,2408,96
October,A,A-1 ST1,7-Jul-06,135,155,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,96,3,1076,2484,99
October,A,A-1 ST1,8-Jul-06,135,165,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,89,3,1079,2856,314
October,A,A-1 ST1,9-Jul-06,123,165,250,1.13,2705,1022,Nubia October,Normal 4.5 short*3.5,89,3,1088,2852,314
October,A,A-1 ST1,1-Oct-06,285,158,250,1.13,2703,1020,Nubia October,Normal 4.5 short*3.5,92,3,1070,2520,202
October,A,A-1 ST1,4-Oct-06,115,160,250,1.13,2702,1019,Nubia October,Normal 4.5 short*3.5,90,3,1073,2560,256
October,A,A-1 ST1,4-Oct-06,115,160,250,1.13,2702,1019,Nubia October,Normal 4.5 short*3.5,90,3,1073,2608,261
October,A,A-1 ST1,7-Oct-06,120,164,250,1.13,2702,1019,Nubia October,Normal 4.5 short*3.5,78,3,1073,2488,547
October,A,A-1 ST1,27-Jun-08,118,145,255,1.13,2687,1004,Nubia October,Normal 4.5 short*3.5,90,2.1,1093,2424,242
October,A,A-1 ST1,26-Jul-08,113,127,255,1.13,2687,1004,Nubia October,Normal 4.5 short*3.5,79,2.3,1154,2040,428
October,A,A-1 ST1,27-Jul-08,115,127,255,1.13,2687,1004,Nubia October,Normal 4.5 short*3.5,75,2.3,1145,1996,499
October,A,A-1 ST1,28-Jul-08,120,127,255,1.13,2687,1004,Nubia October,Normal 4.5 short*3.5,72,2.9,1183,2208,618
October,A,A-13,13-May-05,110,168,246,1.08,3391,1440,Nezzazat October,Normal 4.5 short*3.5,87,2.4,1327,2384,310
October,A,A-13,14-May-05,118,168,246,1.08,3389,1438,Nezzazat October,Normal 4.5 short*3.5,83,2.4,1323,2712,461
October,A,A-13,10-May-08,110,142,246,1.08,2340,389,Nezzazat October,Normal 4.5 short*3.5,90,2.1,1140,1569,157
October,A,A-13,29-Jun-08,130,144,246,1.08,2340,389,Nezzazat October,Normal 4.5 short*3.5,100,3.5,1290,1689,0
October,A,A-13,1-Dec-08,115,135,246,1.08,2290,339,Nezzazat October,Normal 4.5 short*3.5,96,3,1293,1272,51
October,A,A-13,2-Dec-08,105,115,246,1.08,2290,339,Nezzazat October,Normal 4.5 short*3.5,98,3,1305,1760,35
October,A,A-13,3-Dec-08,100,115,246,1.08,2290,339,Nezzazat October,Normal 4.5 short*3.5,98,3,1289,1096,22
October,A,A-13,4-Dec-08,108,112,246,1.08,2290,339,Nezzazat October,Normal 4.5 short*3.5,98,3,1288,1024,20
October,A,A-2B,7-Jul-04,113,175,250,1.12,2784,833,Nezzazat October,Normal 4.5 short*3.5,72,1.1,1061,4092,1146
October,A,A-2B,13-Jul-04,100,175,250,1.12,2782,831,Nezzazat October,Normal 4.5 short*3.5,83,1.1,1063,3948,671
October,A,A-2B,10-Aug-04,110,181,250,1.12,2772,821,Nezzazat October,Normal 4.5 short*3.5,89,1.6,1185,4663,513
October,A,A-2B,12-Aug-04,105,180,250,1.12,2772,821,Nezzazat October,Normal 4.5 short*3.5,88,1.6,1187,4590,551
October,A,A-2B,5-Sep-04,127,180,250,1.12,2763,812,Nezzazat October,Normal 4.5 short*3.5,76,2,1230,5352,1284
October,A,A-2B,18-Sep-04,118,180,250,1.12,2758,807,Nezzazat October,Normal 4.5 short*3.5,83,1.6,1182,4608,783
October,A,A-2B,20-Sep-04,110,178,250,1.12,2758,807,Nezzazat October,Normal 4.5 short*3.5,79,1.6,1172,3555,747
October,A,A-2B,25-Sep-04,105,180,250,1.12,2756,805,Nezzazat October,Normal 4.5 short*3.5,76,1.6,1142,5448,1308
October,A,A-2B,26-Sep-04,125,180,250,1.12,2756,805,Nezzazat October,Normal 4.5 short*3.5,76,1.6,1140,5226,1254
October,A,A-2B,21-Oct-04,128,175,250,1.12,2747,796,Nezzazat October,Normal 4.5 short*3.5,72,1.5,1048,4288,1201
October,A,A-2B,30-Oct-04,123,165,250,1.12,2743,792,Nezzazat October,Normal 4.5 short*3.5,72,2.1,1004,3728,1044
October,A,A-2B,16-Dec-04,115,163,250,1.12,2727,776,Nezzazat October,Normal 4.5 short*3.5,76,3,953,3276,786
October,A,A-2B,8-Feb-05,113,148,250,1.12,2707,756,Nezzazat October,Normal 4.5 short*3.5,76,2.5,1360,3014,723
October,A,A-2B,9-Feb-05,120,157,250,1.12,2707,756,Nezzazat October,Normal 4.5 short*3.5,76,2.5,1435,3072,737
October,A,A-2B,14-Feb-05,130,162,250,1.12,2705,754,Nezzazat October,Normal 4.5 short*3.5,76,2.5,1456,3488,837
October,A,A-2B,18-Feb-05,133,162,250,1.12,2704,753,Nezzazat October,Normal 4.5 short*3.5,73,2.5,1448,4098,1106
October,A,A-2B,17-May-05,128,156,250,1.12,2672,721,Nezzazat October,Normal 4.5 short*3.5,89,3.5,1374,3696,407
October,A,A-2B,12-Jun-05,105,138,250,1.12,2637,686,Nezzazat October,Normal 4.5 short*3.5,74,3,1336,1902,495
October,A,A-2B,13-Jun-05,113,140,250,1.12,2635,684,Nezzazat October,Normal 4.5 short*3.5,75,3,1343,2016,504
October,A,A-2B,14-Jun-05,100,130,250,1.12,2633,682,Nezzazat October,Normal 4.5 short*3.5,78,2.8,1337,1794,395
October,A,A-2B,12-Jul-05,128,135,250,1.12,2586,635,Nezzazat October,Normal 4.5 short*3.5,70,3.9,1359,2571,771
October,A,A-2B,13-Jul-05,125,135,250,1.12,2585,634,Nezzazat October,Normal 4.5 short*3.5,72,4,1353,2146,601
October,A,A-2B,14-Jul-05,125,130,250,1.12,2583,632,Nezzazat October,Normal 4.5 short*3.5,74,3.8,1355,1720,447
October,A,A-2B,15-Jul-05,128,133,250,1.12,2581,630,Nezzazat October,Normal 4.5 short*3.5,74,3.8,1362,1632,424
October,A,A-2B,16-Jul-05,128,130,250,1.12,2580,629,Nezzazat October,Normal 4.5 short*3.5,75,4,1359,2392,598
October,A,A-2B,17-Jul-05,115,130,250,1.12,2578,627,Nezzazat October,Normal 4.5 short*3.5,74,4,1360,2454,638
October,A,A-2B,18-Jul-05,105,140,250,1.12,2576,625,Nezzazat October,Normal 4.5 short*3.5,80,4,1355,2064,413
